,image_name, comment_number, comment
0,2925163942.jpg,0," A man jogging with his two thumbs up in the air , while making a funny face ."
1,3403797144.jpg,4, A surfer on a wave .
2,3613424631.jpg,1, A man with his bike amid a demolished building .
3,4846892973.jpg,0, Six or seven people are standing on a pier with a table and a pair of glasses in the foreground .
4,96461750.jpg,0," A woman lies on a bed with a red , orange , and blue striped comforter crumpled up next to her ."
5,5389294129.jpg,1, A parade of men hold red and yellow flags as they wave them proudly .
6,3368207495.jpg,3, A dog is leaping for a tennis ball .
7,2255753004.jpg,0, Two girls stand in front of two men selling what appears to be concert merchandise while a woman holding a microphone interviews the men behind the merchandise counter .
8,3302317927.jpg,1, People are sitting on a train or subway .
9,2584957647.jpg,4, The white dog brings a stick from the water .
10,3366105287.jpg,4, A skateboarder uses a skateboard ramp .
11,2181144377.jpg,3," Little boy sitting in a huge modern chair , reading a children book ."
12,1581304802.jpg,3, A policeman stopping a vehicle on the side of the road .
13,3430287726.jpg,3, A man with a helmet is going snowmobiling .
14,6105998656.jpg,4, A grungy looking man sits on a plaid bag in a corner outside .
15,3491365028.jpg,3, Two people are sitting in a waiting room .
16,4463998783.jpg,2, A man with glasses and a hat sitting on a bench outside holding a dog leash .
17,2505465055.jpg,4, A white dog runs on brown grass .
18,474226991.jpg,1, A man is standing in the street next to a bale of hay and a wagon loaded down with packages .
19,3662865.jpg,4, Two children in winter coats shoveling snow outside .
20,2396691909.jpg,4, A young girl with makeup and jewelry smiles .
21,6635119569.jpg,3, a man in a checkered shirt doing woodwork
22,2453971388.jpg,2, Two young girls run through a pool while water sprays them .
23,54185885.jpg,4, Man in dark shirt shielding his eyes .
24,34536135.jpg,4, A food vendor serves customers .
25,2722956572.jpg,3, A group of kids sitting along a wall .
26,2943375194.jpg,3, A chef in a white coat is signing a book
27,4899353764.jpg,4, Women wearing sunglasses .
28,2534424894.jpg,2, A girl running through uneven sand with some withered grass .
29,6904240901.jpg,0, A kid is running down a walkway on a winter day wearing a red jacket and striped beanie .
30,5901845159.jpg,2, A bronze street performer pretends to make a movie while a confused boy watches .
31,1499929907.jpg,3, A man is breakdancing and he has spectators .
32,4789709457.jpg,3, The men are carrying a heavy piece of wood .
33,130151401.jpg,2, A man in a Hawaiian shirt is playing an orange electric guitar on a stage .
34,3541483943.jpg,0," The boy is jumping a skateboard down the steps , surrounded by graffiti covered walls ."
35,5436966915.jpg,1, A person dressed in a red and black snowsuit skis downs a mountain .
36,2705101739.jpg,4, a boy in pajama pants playing a guitar .
37,241347391.jpg,3, A football layer wearing a red shirt .
38,2542292902.jpg,0, Two men in orange vests use a meter to test equipment and record the data .
39,1620397000.jpg,0, A black and white spotted dog is jumping over the small stream of water .
40,4193665581.jpg,3, The guard is looking at the city past the wall .
41,2255266906.jpg,4, A bird sits in a tree .
42,3562001359.jpg,1, The person and the dog are sitting on the yellow canoe .
43,3360508977.jpg,1," Several people stand outside , singing in blue and green clothing ."
44,2466171114.jpg,1, Brown dog with objest in mouth moving toward camera .
45,4772601985.jpg,3, A father is kissing his newborn .
46,390987167.jpg,2, A woman in a tank and sunglasses climbs a sunny but snow-covered slope .
47,4849250874.jpg,4, a Caucasian male getting a tattoo .
48,1732217138.jpg,3, Two people with dreadlocks .
49,2171891283.jpg,4, Two dogs walking through nature .
50,468637112.jpg,1, A large crowd of people stand behind red and blue barricades .
51,3367034082.jpg,4, A girl in pink giving another girl a hug .
52,346950049.jpg,4, A man in a white shirt pulls a line out of the water .
53,379006645.jpg,3, Black and tan small dog walking with perked ears .
54,3262793378.jpg,4, Person in orange shirt balancing bicycle on wire
55,308307853.jpg,4, poodle playing on a beach
56,2446601467.jpg,0, A small child is standing in his blue and aqua playpen and all you see if from his eyes up .
57,2489084679.jpg,1, A child in a jacket is sitting in the grass .
58,2387661071.jpg,4, Man sports fishing off a pier on a sunny day .
59,3138943319.jpg,0, A woman pours a carbonated beverage into a glass held in someone 's outstretched hand .
60,4770070628.jpg,3, A girl in a blue Hollister shirt walking down the street with two Forever 21 bags .
61,4910842410.jpg,2, A man and woman are holding hands as they walk down the street .
62,3963364562.jpg,3, A suited man explores an art gallery .
63,4084139686.jpg,0, Two young children are sitting atop an elephant that is eating greens and standing in front a platform with man dressed in a white shirt standing off to the side .
64,128395402.jpg,0, A woman on a blue bike with a pink helmet rides by a public fountain as the sun rises over an urban area .
65,3638992163.jpg,3, A dog is jumping through a red hoop
66,2565087972.jpg,1, A baby is holding a cup and playing with a toy watering can .
67,4460943467.jpg,2, Three boys in hooded sweatshirts standing and looking at camera .
68,776421378.jpg,3, A group travels on the back of camels .
69,2772784124.jpg,0, A man or woman holds a branch high in the air as they look out at the horizon from a cliff edge .
70,2429391789.jpg,4, A group of people enjoying an intimate concert .
71,200875615.jpg,0," Shirtless man with gray hair and blue shorts , sitting on a stool at a table , next to a red beach chair and bicycle ."
72,540436324.jpg,3, Men dressed in khaki are holding a man by the arms .
73,2736508369.jpg,1, A baseball player is tagged out sliding into second base .
74,4576510103.jpg,1," one white little girl , riding on a brown and white saddle which is on top of brown adult horse with black hair , both outside on a sunny day ."
75,4941418090.jpg,4, A woman playing a guitar .
76,2787868417.jpg,1, A little girl wearing a pink dress is running across the grass .
77,4489804619.jpg,4, A couple is walking down the street .
78,3157509153.jpg,2, A man and a woman are standing in the ocean kissing .
79,2171388397.jpg,3, A little girl enjoying the snow on her snowboard .
80,2629334536.jpg,2, The little kid is swinging in the backyard .
81,381239475.jpg,0, a black dog swims through the water with a tennis ball in its mouth .
82,506442755.jpg,3, bicycles stationed while a group of people socialize .
83,3388330419.jpg,1, Two children are playing or dancing inside .
84,4633636089.jpg,3, Male jumping over dirt ramps on his bike .
85,309771854.jpg,0, Two religious men glancing off to their right while standing in front of a church .
86,4696109474.jpg,2, Pedestrians stand in the street outside of a restaurant .
87,2394267183.jpg,3, A dog is going through a slalom style obstacle course .
88,511749704.jpg,4, A little boy in red skateboarding .
89,4430003521.jpg,1," An African-American man , wearing a green hat , is sitting outside next to a trunk ."
90,4441980889.jpg,1, A lady is by a table that has a bunch of groceries on it .
91,4668912499.jpg,0, An individual is holding their wallet while checking their goods at the register of a store as the female cashier looks on .
92,661749711.jpg,3, The dog jumps up to catch the red ball .
93,3248040357.jpg,1, A man looking down at his skateboard or snowboard in the snow .
94,4124718042.jpg,2, Young girl sits at a table and eats sausage .
95,3022505829.jpg,3, Two people standing on a beach looking at seagulls and the surf .
96,4982003362.jpg,1," A young lady with a blue cap , and eyeglasses is sitting on the sidewalks waiting for the parade ."
97,2884092603.jpg,3, A girl smiles while a boy makes a V sign behind her head .
98,4103920923.jpg,2, An older woman honoring children and military servicemen at a memorial .
99,4939691102.jpg,4," Four people snowboarding , dressed warmly ."
100,7786624414.jpg,0, A man in protective gear has jumped off an object on a bike in the air while the crowd is cheering him on .
101,2873188959.jpg,2, a man in blue shorts leaps from cliff into a lake .
102,3839127400.jpg,1, A little girl in a bright green bathing suit is playing in the sand with a blue shovel .
103,2675365025.jpg,0, A man with a blue shirt and white shorts prepares a charcoal barbecue while two other men look on .
104,6021205363.jpg,2, A woman in a blue helmet is at the front of a group of people in a roller derby .
105,4760173070.jpg,4," A group of people walk down a sidewalk , passed two benches , away from the camera ."
106,6838087446.jpg,3, Two boys wrestle in a gymnasium .
107,3214885227.jpg,0, A person is wading through a river near an eroded embankment .
108,113737410.jpg,3, New mall has opened bringing a lot of shoppers .
109,2255332561.jpg,1, a lone man climbing the side of a large rock wall .
110,901027462.jpg,3, Three little boys with nets looking for bugs to catch .
111,6691367427.jpg,1, Five people standing on a snowy bank overlooking a body of water putting on clothes .
112,61206655.jpg,1, man in black shirt putting food into his mouth with his fingers .
113,2846843520.jpg,4, A dog digging for his ball in the sand .
114,3463067753.jpg,3, A man outside weighing poultry .
115,7374494094.jpg,3, A man carrying a torch walks by a large group of people .
116,272283076.jpg,3, a man in a white shirt is climbing a wall while another man watches
117,3704995657.jpg,4, A person on a snowmobile .
118,3442622076.jpg,2, The man surrounded by photographers is wearing a gray suit and glasses .
119,4478669459.jpg,3, A older male is working on a snow truck .
120,3211316116.jpg,4, A man in a yellow shirt surfing .
121,3019842612.jpg,4, A skateboarder in a light green shirt .
122,4545104306.jpg,2, Two women are walking side by side down the street carrying shopping bags .
123,553854589.jpg,3, Two boys got beat up behind a house and left there .
124,4559148111.jpg,1, People are walking down a street while a man reads a newspaper on the sidewalk .
125,4959968023.jpg,2, A woman pushes her cart passed local artwork .
126,2151230100.jpg,1, A ballet dancer is dancing with the mountains in the background .
127,3175887061.jpg,2, A man in a red shirt and a man in a brown shirt smiling at the camera and holding up a sign .
128,3341961913.jpg,2, A goal defending the goal in a hockey game .
129,2656039837.jpg,0, A girl is about to hit a tennis ball coming from above her with a racket
130,2971431335.jpg,4, somebody in the air on a board
131,491495182.jpg,4, People relaxing at a local venue .
132,2442243868.jpg,0, A tan dog wearing a blue collar is playing with an orange toy .
133,214320850.jpg,2, A man plays an acoustic guitar on a subway platform .
134,400562847.jpg,2, A dark-colored dog walking across snow with something in its mouth .
135,2590493460.jpg,3, Two couples sit in booths at a small restaurant .
136,2666307991.jpg,2, Three males in collared shirts and ties celebrating .
137,4773695566.jpg,1, A male figure wearing a black shirt and jeans is strumming a guitar while holding the pick with his mouth .
138,508838116.jpg,1, A woman in a striped shirt folds her arms while standing in a grocery store .
139,4915394257.jpg,3, These girls are swimming in the ocean .
140,4569926879.jpg,2, A redheaded woman standing next to a man in a black jacket with a wine bottle .
141,3595643050.jpg,2, A dog jumping up in the air next to a white house .
142,2531496753.jpg,3, A man is mowing the lawn with a red lawn mower .
143,4826025184.jpg,1, A man in a white shirt is standing in a street that is crowded with people .
144,4799247869.jpg,4, A man overlooking a city .
145,4576510103.jpg,3, A little girl is riding on a brown pony at the farm .
146,4787520787.jpg,4, an older man playing the guitar
147,5914327.jpg,0, Two guys in blue shirts are standing on top of a construction surface doing construction work .
148,3462167010.jpg,4, A mom trying to help her young child
149,4941693387.jpg,3, A Buddhist man sitting the middle of the street .
150,284441196.jpg,4, A dog running on the grass .
151,133280380.jpg,3, Five people are sitting inside a building .
152,131114016.jpg,1, A young boy covering his face while sitting on a trampoline .
153,17516940.jpg,4, A lady holding a baby in a kitchen .
154,1159425410.jpg,1," A brown dog is in a blue tub , while one person holds his leash and another is soaping him ."
155,7148046575.jpg,0, A man editing a black and white photo at a computer with a pencil in his ear .
156,3544233095.jpg,3, A child with a green bucket on the beach .
157,3276475986.jpg,4, Women stand on the street .
158,50713403.jpg,4, Two men renovate a brick wall outside .
159,7663275698.jpg,0, Two guys playing basketball both midair one blocking while the other is attempting a jump shot .
160,4946245832.jpg,2, A young lady is sitting close to homes with solar panels .
161,3474985008.jpg,1, A man in a blue helmet and sunglasses bikes through wooded terrain
162,4794525917.jpg,4, A barefoot woman reads a book along the water .
163,2508249781.jpg,4, The woman sits on the steps outside .
164,3287969199.jpg,1, A large gray bird begins to land in the water .
165,3565749152.jpg,3, A white dog catches a red Frisbee in the grass .
166,3425061393.jpg,3, A tennis player moving for a shot .
167,244774022.jpg,4, A man surfing in the ocean .
168,449287870.jpg,0, Young child in pink top and purple pants clutching a turquoise guard rail .
169,5234657740.jpg,0," An upward looking shot of an electric guitarist against a backdrop of radiating white and red , with WWII bombers ."
170,4796753895.jpg,1, A black man in a long sleeves white collared shirt and a tie is walking to work in a big city .
171,3821036283.jpg,1, A lady with blond-hair is walking briskly down the street .
172,6986780079.jpg,0, A female skater dressed in shorts and a sleeveless t-shirt and wearing a safety helmet skates around a roller derby track as teammates observe the action in the background .
173,5972945043.jpg,2, A ball thrown to first base is mid flight between two players .
174,938012664.jpg,0," A little girl wearing pink is blowing bubbles with her eyes closed , outdoors ."
175,3927611865.jpg,0, A young female tennis player dressed in white has just hit the tennis ball to her opponent .
176,7986954235.jpg,2, Bystanders cheer the closing ceremony of a soccer match .
